정세균,26,1801902,PRC_W0P8G1N1I1P2I1P5N3D4U2P9F5Q7F3,법학전문대학원 설치·운영에 관한 법률 일부개정법률안,계류,2008-11-12,"","","제안이유
  법학전문대학원은 사법제도와 연계된 법학교육을 통해 복잡다기한 법적 분쟁을 전문적·효율적으로 예방하고 해결할 능력을 갖춘 법조인을 양성하기 위해 도입되었음. 
  법학전문대학원 제도 도입과 함께 지역 간 균형을 고려하여 권역별로 설치인가 대학을 선정하였음. 이는 법조인 배출이 특정 지역에 편중되는 것을 방지하여 지역의 다양한 이해와 요청을 충실히 반영하는 법률서비스를 제공하려는 취지임. 
  이러한 지역균형의 원칙을 법률에 명시하고, 이 원칙이 실효성을 갖도록 일정한 범위에서 법학전문대학원이 해당권역 출신자를 선발하도록 규정하려는 것임. 
주요내용
  가. 법학전문대학원 설치인가의 기준으로 지역균형을 추가하고, 전국을 권역으로 나누어 권역별로 설치인가를 선정하도록 함(안 제6조).
  나. 학생구성의 기준으로 지역균형을 추가하고, 해당 권역에 소재하는 대학의 학사학위를 취득한 자의 비율이 전체의 2분의 1 이상이 되도록 함(안 제26조).","강기정,강봉균,강창일,구본철,김동철,김상희,김성곤",교육과학기술위원회
정세균,26,171919,030738,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문),의결,2005-06-01,2005-06-02,원안가결,"","강재섭,이낙연,정세균,,,,",2005-06-02
정세균,26,171570,030343,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설),의결,2005-04-04,2005-04-06,원안가결,"","강재섭,정세균,,,,,",2005-04-06
정세균,26,171354,029925,신행정수도 후속대책을 위한 연기·공주지역 행정도시건설 특별법안,의결,2005-02-05,2005-03-02,수정가결,"■ 제안이유
  우리나라는 국가의 중추기능이 수도권에 과도하게 집중되어 수도권에서는 주택난·교통난·환경오염 등 각종 부작용이 발생하고 있는 반면, 지방은 개발이 상대적으로 늦어져 국토를 균형있게 이용하지 못하고 수도권과 지방이 모두 경쟁력을 잃어가고 있는 상황임.
  이러한 문제점을 극복하기 위한 특단의 대책으로 국가 정치·행정의 중추기능을 가지는 신행정수도를 충청권에 새로이 건설하기 위하여 ?신행정수도의건설을위한특별조치법(2004. 1. 16. 법률 제7062호)?을 제정?시행하였으나, 헌법재판소에서 동법은 우리나라의 수도가 서울이라는 불문의 관습헌법사항을 헌법개정절차를 이행하지 아니한 채 법률의 방식으로 변경한 것이어서 위헌이라고 결정(2004. 10. 21. 2004헌마554?566)함에 따라 그 효력을 상실하게 되었음.
  하지만 헌법재판소의 위헌결정에도 불구하고 국토균형발전과 수도권 과밀해소는 흔들림 없이 계속 추진하여야 할 과제이므로, 헌법재판소의 결정내용을 반영하면서 분권과 균형발전, 수도권 과밀해소의 취지와 효과를 살릴 수 있는 대안으로 충청남도 연기?공주지역에 행정도시를 건설하여 수도권에 집중된 중앙행정기관을 이전함으로써 궁극적으로 전국 어디서나 골고루 잘 사는 나라를 건설하여 국민의 삶의 질을 향상시키고 국가경쟁력을 극대화하는데 이바지하려는 것임.
■ 주요내용
  가. 건설교통부장관은 예정지역과 주변지역을 지정하기 위한 조사를 진행하는 과정에서 난개발과 부동산투기가 우려되는 지역에 대하여 개발행위허가 및 건축허가를 제한할 수 있고, 예정지역 안에서의 건축행위 등에 관하여는 행정도시건설청장(이하 “건설청장”이라 한다)의 허가를 받도록 함(안 제8조·제9조 및 제14조).
  나. 행정도시건설을 위한 예정지역은 연기?공주지역에 지정하되, 자연지형·환경성?경제성 및 행정구역 등을 고려하여 건설교통부장관이 행정도시건설추진위원회(이하 “위원회”라 한다)의 심의를 거친 후 대통령의 승인을 얻어 지정·고시하도록 함(안 제11조·제12조).
  다. 행정자치부장관은 중앙행정기관등을 행정도시로 이전하는 계획을 수립하여 위원회의 심의를 거친 후 대통령의 승인을 얻어 확정하도록 함(안 제16조).
  라. 건설교통부장관은 예정지역·주변지역과 그 인접지역간 광역시설의 체계적 정비 및 환경보전 등을 위하여 행정도시광역도시계획을 수립하도록 함(안 제17조).
  마. 예정지역을 개발하는 행정도시건설사업은 정부투자기관 중 건설교통부장관이 지정하는 자가 수행하도록 하되, 필요시 국가 또는 지방자치단체도 사업시행자로 지정할 수 있도록 함(안 제18조).
  바. 건설교통부장관은 행정도시개발의 기본방향 등을 제시하는 기본계획을 수립하고, 건설청장은 기본계획에 부합하도록 개발계획을 수립하도록 함(안 제19조·제20조).
  사. 예정지역의 지정시점을 공익사업을위한토지등의취득및보상에관한법률의 규정에 의한 사업인정시점으로 보며, 토지등의 수용 또는 사용에 관하여는 공익사업을위한토지등의취득및보상에관한법률을 준용하도록 함(안 제24조).
  아. 행정도시건설업무와 관련한 주요사항을 심의하기 위하여 국무총리와 민간인을 공동위원장으로 하는 행정도시건설추진위원회를 대통령소속으로 설치하되, 위원은 관계부처장관과 민간인 등 30인 이내로 구성하도록 함(안 제29조 내지 제31조).
  자. 행정도시건설업무를 효율적으로 추진하기 위하여 건설교통부장관소속하에 행정도시건설청을 설치하되, 청장은 정무직으로 하고, 차장은 별정직국가공무원으로 보하도록 함(안 제38조·제39조).
  차. 행정도시건설에 관한 사업을 재정적으로 지원하기 위하여 건설청장이 관리?운용하는 행정도시건설특별회계를 설치하도록 함(안 제44조·제45조).
  카. 행정도시건설과 관련하여 공공 건축물의 건축 및 광역교통시설의 건설을 위하여 국가예산에서 지출하는 금액은 2003년도 불변가격 기준으로 10조원을 초과할 수 없도록 함(안 제51조).","원혜영,정세균,,,,,",건설교통위원회
정세균,26,171300,029870,국무총리 및 국무위원 출석요구의 건(사회·문화에 관한 질문),의결,2005-01-28,2005-02-01,원안가결,"","김덕룡,정세균,,,,,",2005-02-01
정세균,26,171299,029869,국무총리 및 국무위원 출석요구의 건(경제에 관한 질문),의결,2005-01-28,2005-02-01,원안가결,"","김덕룡,정세균,,,,,",2005-02-01
정세균,26,171298,029868,국무총리 및 국무위원 출석요구의 건(정치·통일·외교·안보에 관한 질문),의결,2005-01-28,2005-02-01,원안가결,"","김덕룡,정세균,,,,,",2005-02-01
정세균,26,171297,029867,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체대표연설),의결,2005-01-28,2005-02-01,원안가결,"","김덕룡,정세균,,,,,",2005-02-01
정세균,26,170440,028556,소형기선저인망어선정리에관한특별법안,의결,2004-09-14,2004-12-09,수정가결,"■ 제안이유
이 법률은 수산자원을 지속적으로 보전·이용하고 어업질서를 확립하기 위하여 수산업법에서 인정하고 있지 않는 소형기선저인망어업을 행하는 어업자의 어선에 대하여 잔존선가를 지급한 후 동 어선을 폐기 처분함을 목적으로 함.  그 이유는 어업질서 확립을 위한 정부의 지속적인 노력에도 불구하고 소형기선저인망어업이 음성적·조직화되어 어선을 정리하는 등의 근본적인 문제 해결 없이는 어업인 스스로 해결할 수 있는 한계를 넘어선 상태이므로 2003. 5. 1부터 무기한 단속과 병행하여 부산, 충남, 전북, 전남, 경남등 서·남해에서 조업하고 있는 약 3,000여척의 소형기선저인망어선 가운데, 선가를 받고 어선을 처분하기를 희망하는 경우 어선을 매입·폐기 처분함. 
■ 주요내용
  가. 수산자원의 지속적 보전·이용과 연근해 어장의 어업질서 확립을위하여 소형기선저인망어선에 대하여 잔존선가를 지급한 후 동 어선을 정리함으로서 수산업의 경쟁력 강화와 안정적인 발전을 도모함을 목적으로 함(안 제1조).
  나. 소형기선저인망어선의 매입처분 업무를 심의·의결하기 위하여 해당 시·도에 관계공무원, 수산관련 전문가, 감정평가업자 등 5인이내의 위원으로 구성하는 “소형기선저인망어선정리위원회”를 설치함(안 제4조).
  다. 소형기선저인망어선에 대한 선가의 결정을 위하여 대통령령이 정하는 전문감정기관에 감정을 의뢰하도록 함(안 제6조).
  라. 시·도지사는 정리대상 어선을 안전하게 관리할 수 있는 항·포구에 어선의 계류장소를 지정하고, 선박관리업체와 용역계약을 체결하여 어선을 유지·관리하도록 함(안 제10조).
  마. 거짓 그 밖의 부정한 방법으로 선가(船價)를 지원받은 경우와 잘못 지급된 경우 선가를 환수 할 수 있도록 함(안 제11조).
  바. 해양수산부 장관은 정리어선의 잔존선가·어선의 계류 및 폐기처분 등에 필요한 경비를 시·도지사에게 보조할 수 있도록 함(안 제12조).
  사. 소형기선저인망어선의 정리에 따라 잔존선가를 지급 받은 금액에 대하여 국세 및 지방세를 감면함(안 제14조).
  아. 거짓 그 밖의 부정한 방법으로 선가를 지원 받은 자 또는 거짓으로 감정평가를 한 자에 대하여 1년 이하의 징역 또는 300만원 이하의 벌금에 처하도록 함(안 제16조).
  자. 5년간 한시법으로 운영하여 소형기선저인망어선을 정리하고자 함(부칙 제2조).
  차. 몰수어선의 정리절차를 규정하고 그 처리비용을 보조할 수 있도록 본법 부칙에서 수산업법을 개정하여 직접 명시함(부칙 제3조).","권선택,김교흥,김낙성,김명주,김우남,김진표,김효석",농림해양수산위원회
정세균,26,162710,026191,소형기선저인망어선정리에관한특례법안,의결,2003-10-06,2004-05-29,임기만료폐기,"■ 제안이유
어업질서확립을 위한 정부의 지속적인 노력에도 불구하고 소형기선저인망어업이 음성적·조직화되어 어선을 정리하는 등의 근본적인 문제해결 없이는 어업인 스스로 해결할 수 있는 한계를 넘어선 상태임.
  따라서 부산, 충남, 전북, 전남, 경남 등 서·남해에서 조업하고 있는 약 3,000여척의 소형기선저인망 어업을 행하는 어업자의 어선 가운데 선가를 받고 어선을 처분하기를 희망하는 경우 어선을 매입·폐기 처분함으로써 수산자원을 지속적으로 보전·이용하고 어업질서를 확립하고자 하는 것임.
■ 주요골자
1. 소형기선저인망어선의 매입처분 업무를 심의·의결하기 위하여 해당 시·도에 관계공무원, 수산관련 전문가, 감정평가업자 등 5인 이내의 위원으로 구성하는 “소형기선저인망어선정리위원회”를 설치함(안 제5조).
2. 소형기선저인망어선에 대한 선가의 결정을 위하여 대통령령이 정하는 전문감정기관에 감정을 의뢰하도록 함(안 제7조).
3. 시·도지사는 정리대상 어선을 안전하게 관리할 수 있는 항·포구에 어선의 계류장소를 지정하고, 선박관리업체와 용역계약을 체결하여 어선을 유지·관리할 수 있도록 함(안 제11조).
4. 거짓 그 밖에 부정한 방법으로 선가를 지원받은 경우와 잘못 지급된 경우 선가를 환수 할 수 있도록 함(안 제12조).
5. 소형기선저인망어선의 정리에 따라 잔존선가를 지급 받은 금액에 대하여 국세 및 지방세를 감면함(안 제15조).
6. 소형기선저인망어업을 행한 어선의 소유자가 “소형기선 저인망어선정리신청서”를 제출한 경우에는 수산업법 제94조의 벌칙, 동법 제100조의 양벌규정을 적용하지 아니하고, 매입어선의 잔존가액을 지급하는 특례를 둠(안 제17조제1항).
7. 수산업법 제99조의 규정에 의하여 몰수한 소형기선 저인망어선의 처리 절차를 규정하고 처리에 필요한  경비를 정부에서 보조할 수 있도록 함(안 제17조제2항).
8. 거짓 그 밖에 부정한 방법으로 선가를 지원 받은 자 또는 거짓으로 감정평가를 한 자에 대하여 1년 이하의 징역 또는 300만원 이하의 벌금에 처하도록 함(안 제18조).","고진부,김성순,박재욱,박주선,신기남,양정규,이미경",농림해양수산위원회
정세균,26,162179,023947,조세특례제한법중개정법률안,의결,2003-03-31,2003-04-30,수정가결,"■ 제안이유 및 주요골자
최근 미국과 이라크의 전쟁 등으로 세계경제의 불확실성이 커지는 가운데 우리경제의 상황도 불안요인이 상존함에 따라 증권시장의 회복이 지연되고 있어 건전한 기관투자가의 적극적인 육성을 통해 증권시장의 장단기 수급여건을 개선하고 증권시장의 활성화를 도모하기 위하여 1인당 8천만원의  범위내에서 상장 또는 등록된 주식 등을 100분의 60 이상 보유하는 주식간접투자상품에 가입하여 1년 이상 유지하는 경우 2005년 12월 31일까지 발생하는 소득에 대하여 소득세를 비과세하는 장기주식형신탁저축을 신설하려는 것임(안 제87조의4 신설).
■ 위원회 수정사항
□ 수정이유
비과세 장기주식투자상품의 범위에 증권회사 등의 투자일임상품을 추가하여 주식간접투자상품간의 공정한 영업환경 조성과 기관투자가의 저변 확대를 통한 주식시장 활성화에 기여하고자 함.
□ 수정주요골자
증권거래법에 의하여 투자일임업을 영위하는 금융기관에 투자일임한 저축을 비과세 장기주식형저축에 포함함(안 제87조의4제1항제1호라목 신설).","정동채,정세균,,,,,",재정경제위원회
정세균,26,160786,016901,조세특례제한법중개정법률안,의결,2001-06-01,2001-12-14,폐기,"■ 제안이유
21세기에 접어들면서 세계경제가 지식기반경제로 이행되어 가고 산업적 측면에서는 지식기반산업 중심의 산업
구조로의 개편이 가속화되어 가고 있음에 발맞추어 우리나라도 지식기반경제 및 지식기반산업 위주의 구조조정
을 추진하고 있으므로, 엔지니어링 사업, 정보처리 및 컴퓨터운용관련업, 부가통신업, 연구 및 개발업 등의 이
른바 지식기반산업에 대한 조세지원제도를 마련하여 지식기반산업의 활성화를 촉진함으로써 국제경쟁력의 강
화, 수출산업의 저변확대, 고용창출, 경기부양, 기술개발 및 기술수출, 소비구조의 다양화와 고도화에 대한 대
응 책 마련 등의 경제정책 및 산업정책적 목표를 달성하고자 함.
■ 주요골자
일정한 범위의 지식기반산업에 대하여 소득세 또는 법인세의 20％를 2005. 12. 31.까지를 기한으로 하여 감면
하여 주는 세액감면규정을 신설함(안 제7조제2항).","강숙자,권오을,김기재,김영배,김원기,김태식,김호일",재정경제위원회
정세균,26,160474,016589,재정건전화를위한특별조치법안,의결,2000-12-04,2004-05-29,임기만료폐기,"","강운태,고진부,김경재,김근태,김기재,김덕규,김성순",국회운영위원회
정세균,26,160416,016528,조세특례제한법중개정법률안,의결,2000-11-27,2000-12-21,대안폐기,"","강운태,심규섭,이정일,장영신,정세균,,",재정경제위원회
정세균,26,160415,016529,소득세법중개정법률안,의결,2000-11-27,2000-12-21,폐기,"■ 제안이유 및 주요골자
서화·골동품에 대한 과세는 근로소득등 타 소득과의 과세형평성을 고려할때 바람직한 면이 있으나, 문화·예
술분야의 침체가 몇 년동안 지속되고 있으며 아직 경매제도등 합리적인 유통구조가 정착되지 못하고 있어 과세
되더라도 현실적으로 세원포착이 어려워 과세실익이 크지 아니한 점 등을 고려하여 당초 2001년 1월 1일부터 
시행하려던 것을 3년간 유예하여 2004년 1월 1일부터 시행하려는 것임(안 법률 제5031호 부칙 제1조 단서).","강운태,심규섭,이정일,장영신,정세균,,",재정경제위원회
정세균,26,160410,016517,공적자금관리기본법안,의결,2000-11-25,2000-12-02,대안폐기,"","강운태,김근태,김기재,김태식,박병윤,배기선,신기남",재정경제위원회
